Algorithm,Accuracy,Precision,Accuracy_max_feature_1000,Precision_max_feature_1000,Accuracy_max_feature_3000,Precision_max_feature_3000,Accuracy_max_feature_3000_fs,Precision_max_feature_3000_fs
RandomForestClassifier,0.971953578336557,1.0,0.9738878143133463,0.944,0.9758220502901354,0.9829059829059829,0.9758220502901354,0.9829059829059829
KNeighborsClassifier,0.9003868471953579,1.0,0.9168278529980658,1.0,0.9052224371373307,1.0,0.9090909090909091,0.9782608695652174
MultinomialNB,0.9593810444874274,1.0,0.9777562862669246,0.9914529914529915,0.9709864603481625,1.0,0.9748549323017408,0.9117647058823529
ExtraTreesClassifier,0.9729206963249516,0.9824561403508771,0.97678916827853,0.9523809523809523,0.9748549323017408,0.9745762711864406,0.9748549323017408,0.9745762711864406
SVC,0.9729206963249516,0.9741379310344828,0.9690522243713733,0.9568965517241379,0.9758220502901354,0.9747899159663865,0.9661508704061895,0.912
AdaBoostClassifier,0.9613152804642167,0.9454545454545454,0.9632495164410058,0.9385964912280702,0.960348162475822,0.9292035398230089,0.960348162475822,0.9292035398230089
XGBClassifier,0.9729206963249516,0.9435483870967742,0.9738878143133463,0.9663865546218487,0.9671179883945842,0.9262295081967213,0.9671179883945842,0.9262295081967213
LogisticRegression,0.9516441005802708,0.94,0.9613152804642167,0.9622641509433962,0.9584139264990329,0.9702970297029703,0.9642166344294004,0.9391304347826087
GradientBoostingClassifier,0.9526112185686654,0.9238095238095239,0.9535783365570599,0.9411764705882353,0.9468085106382979,0.9191919191919192,0.9468085106382979,0.9191919191919192
BaggingClassifier,0.9584139264990329,0.8625954198473282,0.965183752417795,0.9047619047619048,0.9584139264990329,0.8682170542635659,0.9584139264990329,0.8682170542635659
DecisionTreeClassifier,0.9361702127659575,0.8461538461538461,0.9381044487427466,0.8627450980392157,0.9274661508704062,0.8118811881188119,0.9313346228239845,0.8252427184466019
